qid,image_id,image_filename,final_image_filename,image_relative_path,oss_url,city,lon,lat,streetclip_cluster_k25,image_file_exists_in_package
Q087,CD_471132,cd_471132_104.106139575_30.6559064092.jpg,Q087__cd_471132_104.1061396_30.65590641.jpg,images/Q087__cd_471132_104.1061396_30.65590641.jpg,,CD,104.1061396,30.65590641,14,True
Q088,CD_416908,cd_416908_104.079588457_30.6972293316.jpg,Q088__cd_416908_104.0795885_30.69722933.jpg,images/Q088__cd_416908_104.0795885_30.69722933.jpg,,CD,104.0795885,30.69722933,14,True
Q089,CD_420303,cd_420303_104.050288361_30.7239041554.jpg,Q089__cd_420303_104.0502884_30.72390416.jpg,images/Q089__cd_420303_104.0502884_30.72390416.jpg,,CD,104.0502884,30.72390416,14,True
Q090,CD_466034,cd_466034_104.022845381_30.6282832731.jpg,Q090__cd_466034_104.0228454_30.62828327.jpg,images/Q090__cd_466034_104.0228454_30.62828327.jpg,,CD,104.0228454,30.62828327,14,True
Q091,CD_413022,cd_413022_104.088524486_30.7142364362.jpg,Q091__cd_413022_104.0885245_30.71423644.jpg,images/Q091__cd_413022_104.0885245_30.71423644.jpg,,CD,104.0885245,30.71423644,14,True
Q092,CD_468263,cd_468263_104.069544177_30.6150537998.jpg,Q092__cd_468263_104.0695442_30.6150538.jpg,images/Q092__cd_468263_104.0695442_30.6150538.jpg,,CD,104.0695442,30.6150538,15,True
Q093,CD_462155,cd_462155_103.998700855_30.6609627682.jpg,Q093__cd_462155_103.9987009_30.66096277.jpg,images/Q093__cd_462155_103.9987009_30.66096277.jpg,,CD,103.9987009,30.66096277,15,True
Q094,CD_411828,cd_411828_104.100442887_30.7014864011.jpg,Q094__cd_411828_104.1004429_30.7014864.jpg,images/Q094__cd_411828_104.1004429_30.7014864.jpg,,CD,104.1004429,30.7014864,15,True
Q095,CD_51505,cd_51505_104.076628919_30.6107592498.jpg,Q095__cd_51505_104.0766289_30.61075925.jpg,images/Q095__cd_51505_104.0766289_30.61075925.jpg,,CD,104.0766289,30.61075925,15,True
Q096,CD_414081,cd_414081_104.042979691_30.6890736954.jpg,Q096__cd_414081_104.0429797_30.6890737.jpg,images/Q096__cd_414081_104.0429797_30.6890737.jpg,,CD,104.0429797,30.6890737,16,True
Q097,CD_470368,cd_470368_104.110432964_30.6585196938.jpg,Q097__cd_470368_104.110433_30.65851969.jpg,images/Q097__cd_470368_104.110433_30.65851969.jpg,,CD,104.110433,30.65851969,16,True
Q098,CD_421115,cd_421115_104.017623559_30.6991043475.jpg,Q098__cd_421115_104.0176236_30.69910435.jpg,images/Q098__cd_421115_104.0176236_30.69910435.jpg,,CD,104.0176236,30.69910435,16,True
Q099,CD_454357,cd_454357_103.998865221_30.6508768081.jpg,Q099__cd_454357_103.9988652_30.65087681.jpg,images/Q099__cd_454357_103.9988652_30.65087681.jpg,,CD,103.9988652,30.65087681,16,True
Q100,CD_469626,cd_469626_104.02117428_30.6423153705.jpg,Q100__cd_469626_104.0211743_30.64231537.jpg,images/Q100__cd_469626_104.0211743_30.64231537.jpg,,CD,104.0211743,30.64231537,16,True
Q101,CD_412293,cd_412293_104.07664588_30.7183104675.jpg,Q101__cd_412293_104.0766459_30.71831047.jpg,images/Q101__cd_412293_104.0766459_30.71831047.jpg,,CD,104.0766459,30.71831047,17,True
Q102,CD_473655,cd_473655_104.060001881_30.6569306823.jpg,Q102__cd_473655_104.0600019_30.65693068.jpg,images/Q102__cd_473655_104.0600019_30.65693068.jpg,,CD,104.0600019,30.65693068,17,True
Q103,CD_412283,cd_412283_104.074209697_30.7100125532.jpg,Q103__cd_412283_104.0742097_30.71001255.jpg,images/Q103__cd_412283_104.0742097_30.71001255.jpg,,CD,104.0742097,30.71001255,17,True
Q104,CD_469998,cd_469998_104.049901318_30.6203591649.jpg,Q104__cd_469998_104.0499013_30.62035916.jpg,images/Q104__cd_469998_104.0499013_30.62035916.jpg,,CD,104.0499013,30.62035916,17,True
Q105,CD_413471,cd_413471_104.067980677_30.7102725895.jpg,Q105__cd_413471_104.0679807_30.71027259.jpg,images/Q105__cd_413471_104.0679807_30.71027259.jpg,,CD,104.0679807,30.71027259,17,True
Q106,CD_43941,cd_43941_103.995969726_30.6526223574.jpg,Q106__cd_43941_103.9959697_30.65262236.jpg,images/Q106__cd_43941_103.9959697_30.65262236.jpg,,CD,103.9959697,30.65262236,17,True
Q107,CD_468578,cd_468578_104.077108241_30.6174469629.jpg,Q107__cd_468578_104.0771082_30.61744696.jpg,images/Q107__cd_468578_104.0771082_30.61744696.jpg,,CD,104.0771082,30.61744696,17,True
Q108,CD_54451,cd_54451_104.099896572_30.6632785808.jpg,Q108__cd_54451_104.0998966_30.66327858.jpg,images/Q108__cd_54451_104.0998966_30.66327858.jpg,,CD,104.0998966,30.66327858,17,True
Q109,CD_472888,cd_472888_104.088559454_30.6584895793.jpg,Q109__cd_472888_104.0885595_30.65848958.jpg,images/Q109__cd_472888_104.0885595_30.65848958.jpg,,CD,104.0885595,30.65848958,17,True
Q110,CD_417637,cd_417637_104.04685049_30.6998015079.jpg,Q110__cd_417637_104.0468505_30.69980151.jpg,images/Q110__cd_417637_104.0468505_30.69980151.jpg,,CD,104.0468505,30.69980151,18,True
Q111,CD_467460,cd_467460_104.112797448_30.6123269599.jpg,Q111__cd_467460_104.1127974_30.61232696.jpg,images/Q111__cd_467460_104.1127974_30.61232696.jpg,,CD,104.1127974,30.61232696,18,True
Q112,CD_221762,cd_221762_104.142498047_30.711734168.jpg,Q112__cd_221762_104.142498_30.71173417.jpg,images/Q112__cd_221762_104.142498_30.71173417.jpg,,CD,104.142498,30.71173417,18,True
Q113,CD_35670,cd_35670_104.024661615_30.7123334304.jpg,Q113__cd_35670_104.0246616_30.71233343.jpg,images/Q113__cd_35670_104.0246616_30.71233343.jpg,,CD,104.0246616,30.71233343,18,True
Q114,CD_413974,cd_413974_104.058465341_30.7218327736.jpg,Q114__cd_413974_104.0584653_30.72183277.jpg,images/Q114__cd_413974_104.0584653_30.72183277.jpg,,CD,104.0584653,30.72183277,18,True
Q115,CD_463347,cd_463347_104.008949102_30.6635913582.jpg,Q115__cd_463347_104.0089491_30.66359136.jpg,images/Q115__cd_463347_104.0089491_30.66359136.jpg,,CD,104.0089491,30.66359136,18,True
Q116,CD_463955,cd_463955_104.040260071_30.6120164015.jpg,Q116__cd_463955_104.0402601_30.6120164.jpg,images/Q116__cd_463955_104.0402601_30.6120164.jpg,,CD,104.0402601,30.6120164,18,True
Q117,CD_413707,cd_413707_104.097413988_30.7001131881.jpg,Q117__cd_413707_104.097414_30.70011319.jpg,images/Q117__cd_413707_104.097414_30.70011319.jpg,,CD,104.097414,30.70011319,19,True
Q118,CD_58489,cd_58489_104.125946035_30.6388793895.jpg,Q118__cd_58489_104.125946_30.63887939.jpg,images/Q118__cd_58489_104.125946_30.63887939.jpg,,CD,104.125946,30.63887939,19,True
Q119,CD_35462,cd_35462_104.047947415_30.7118266219.jpg,Q119__cd_35462_104.0479474_30.71182662.jpg,images/Q119__cd_35462_104.0479474_30.71182662.jpg,,CD,104.0479474,30.71182662,19,True
Q120,CD_54553,cd_54553_104.030220062_30.6533481221.jpg,Q120__cd_54553_104.0302201_30.65334812.jpg,images/Q120__cd_54553_104.0302201_30.65334812.jpg,,CD,104.0302201,30.65334812,19,True
Q121,CD_36521,cd_36521_104.032787959_30.716084001.jpg,Q121__cd_36521_104.032788_30.716084.jpg,images/Q121__cd_36521_104.032788_30.716084.jpg,,CD,104.032788,30.716084,19,True
Q122,CD_52702,cd_52702_104.04291415_30.626702001.jpg,Q122__cd_52702_104.0429142_30.626702.jpg,images/Q122__cd_52702_104.0429142_30.626702.jpg,,CD,104.0429142,30.626702,19,True
Q123,CD_466922,cd_466922_104.075930073_30.6144839762.jpg,Q123__cd_466922_104.0759301_30.61448398.jpg,images/Q123__cd_466922_104.0759301_30.61448398.jpg,,CD,104.0759301,30.61448398,20,True
Q124,CD_34722,cd_34722_104.100968725_30.6762040835.jpg,Q124__cd_34722_104.1009687_30.67620408.jpg,images/Q124__cd_34722_104.1009687_30.67620408.jpg,,CD,104.1009687,30.67620408,20,True
Q125,CD_471544,cd_471544_104.041709879_30.6430078202.jpg,Q125__cd_471544_104.0417099_30.64300782.jpg,images/Q125__cd_471544_104.0417099_30.64300782.jpg,,CD,104.0417099,30.64300782,20,True
